abbreviation,japanese,english
Ａ,動脈,Ａｒｔｅｒｒｙ
ＡＡ,再生不良性貧血,Ａｐｌａｓｔｉｃ　（Ａｎａｐｌａｓｔｉｃ）　anemia
AAA,腹部大動脈瘤,Abdominal aortic aneurysm
AAD,環椎軸椎間隙,Atlanto-axial distance
A-aD,肺胞気-動脈血較差,Alveolar-arterial difference
A-aDCO2,肺胞気-動脈血二酸化炭素分圧較差,Alveolar-arterial carbon dioxide tension difference
A-aDO2,肺胞気-動脈血酸素分圧較差,Alveolar-arterial oxygen difference
AAE,自動介助運動,Active assistive exercise
AAF,環軸関節癒合,Atlanto-axial fusion
AAI,環椎軸椎間隙,Atlanto-axial interval
AAJ,環軸関節,Atlanto-axial joimt
AAL,前腋窩線,Anterior axillary line
AART,米国呼吸療法協会,American association for respiratory therapy
AAS,環椎軸椎亜脱臼,Atlantoaxial subluxasion
AAT,α1-アンチトリプシン,α1-Antitrypsin
AB,喘息様気管支炎,Asthmatic bronchitis
A-B,気導骨導(聴力)差,Air-bone(gap)
Ab,抗体,Antibody
ABC,気道、呼吸、循環(蘇生の順序),Airway、breathing、circulation
ABD、Abd,外転,Abduction
abd,腹部、腹部の,abdomen、abdominal
abd X-P,腹部Ⅹ線撮影(法)【アブドミナル　エックス　ピー】,abdominal X-ray photography
ABE,急性細菌性心内膜炎,Acute bacterial endocarditis
ABG,動脈血ガス,Arterial blood gas
ABH,ABH血液型抗原,ABH(blood group antigen)
ABK,アルベカシン,Arbekasin
ABLB,両耳音の大きさバランス検査,Alternate binaural loudness balance(test)
ABMT,自家骨髄移植,Autogous bone marrow transplantation
ABO,ABO式血液型系,ABO(blood type system)
ABP,急性細菌性前立腺炎,Acute bacterial prostatitis
ABPA,アレルギー性気管支・肺アスペルギルス症,Allergic broncho-pulmonary aspergillosis
ABPC,アミノベンジルペニシリン(アンピシリン),Aminobenzylpenicillin(ampicilln)
ABR,聴性脳幹反応,Auditory brainstem response
ABU,無症候性細菌尿,Asymptomatic bacteriuria
AC,交流,Alternating current
A-C,大動脈-冠状動脈バイパス(術),Aorto-coronary(artery bypass)
ac,食前,Ante cibum(ラ)
ACA,前交通動脈,Anterior communicating artery
AC/A,調節性輻輳/調節比,Accommodative convergence/accommodation(ratio)
ACAG,急性閉塞隅角緑内障,Acute closed angle glaucoma
ACBG,大動脈冠状動脈バイパス術,Aortocoronary bypass grafting
ACD,アレルギー性接触皮膚炎,Allergic contact dermatitis
ACDK,後天性嚢胞腎（疾患）,Acquired cystic disease of kidney
ACE,アンジオテンシン変換酵素,Angiotensin converting enzyme
ACEI,アンジオテンシン変換酵素阻害(抑制)薬,Angiotensin converting enzyme inhibitor
ACG,心血管造影(法),Angiocardiography
ACH,副腎皮質ホルモン,Adrenocortical hormone
ACh,アセチルコリン,Acetylcholine
AChA,前脈絡膜動脈,Anterior choroidal artery
AChR、AchR,アセチルコリン受容体,Acetylcholine receptor
AChR ab,抗アセチルコリン受容体抗体,Acetylcholine receptor antibody
ACI,副腎皮質機能不全,Adrenocortical insufficiency
AC-IOL,前房レンズ,Anterior chamber intraocular lens
ACJ,肩鎖関節,Acromioclavicular joint
ACKD,後天性嚢胞腎,Acquired cystic kidney disease
ACL,前十字靭帯,Anterior cruciate ligament
ACLE,急性皮膚ループエリテマトーデス,Acute cutaneous lupus erythematosus
Acomm,前交通動脈【エイコム】,Anterior communicating artery
ACS,前冠状動脈洞,Anterior coronary sinus
ACT,アクチノマシイン,Actinomycin
ACTH,副腎皮質刺激ホルモン【アクス】,Adrenocorticotropic hormone
ACV,アシクロビル【アシクロビル】,Acyclovir
ACVD,アテローム硬化性心血管疾患,Atherosclerotic cardiovascular disease
AD,アトピー性皮膚炎,Atopic dermatitis
AD、Ad,アドレナリン【アドレナリン】,Adrenaline
Ad,入院,Admission
AD-CA、Ad-ca、ad-ca,腺癌,Adenocarcinoma
ADD,環軸歯突起間距離,Atlantodental distance
ADD、Add,内転,Adduction
Add,内転筋,Adductor
add,加えよ、加える,Addatur(ラ)
ADEM,急性散在性脳脊髄炎,Acute disseminated encephalomyelitis
ADEN,急性播種性表皮壊死症,Acute disseminated epidermal necrosis
ADH,抗利尿ホルモン,Antidiuretic hormone
AD-HD,注意欠陥多動障害,Attenntion deficit hyperactivity disorder
ADI,1日摂取許容量,Acceptable daily intake
ADIS,不安障害面接基準,Anxiety disorder interview standard
ADL,日常生活動作,Activities of daily life
Adm,入院【アドミッション】,Admission
ADP,母指内転筋,(musculus)Adductor pollicis(ラ)
ADP-Glc,ADP(アデノシン二リン酸)グルコース,Adenosine diphosphate glucose
ADQ,小指外転筋,(musculus)Abductor digiti quinti(ラ)
ADR,薬物有害反応,Adverse drug reaction
ADS,抗体欠乏症候群,Antibody deficiency syndrome
Ad-St,アダムス・ストークス症候群,Adams-Stokes syndrome
ad us ext,外用,Ad usum externum(ラ)
ad us int,内用,Ad usum internum(ラ)
AE,自動運動,Active exercise
AECD,アレルギー性湿疹状接触皮膚炎,Allergic eczematous contact dermatitis
AED,抗てんかん薬,Antiepileptic drugs
AEDH,急性硬膜外血腫,Acute epidural hematoma
AEG,気脳造影,Air encephalogram
AF,前屈,Anteflexed
A-F,腋窩-大動脈バイパス,Axillary-femoral (bypass)
AF、Af、af,心房細動,Atrial fibrillation
AF、aF,心房粗動,Atrial flutter
AFB,抗酸菌,Acid fast bacillus
AFCI,急性巣状脳虚血,Acute focal cerebral ischemia
AFP,α-胎児蛋白、α-フェトプロテイン,Alpha-fetoprotein
AFR,平均尿流量率,Average flow rate
AFV,羊水量,Amniotic fluid　volume
AG,アニオンギャップ,Anion gap
AG,抗原,Antigen
AGA,アレルギー性肉芽腫性血管炎,allergic granulomatous angiitis
AGB,短胃動脈,Anteriae gastricae breves(ラ)
AGE,急性胃腸炎,Acute gastroenteritis
AGES,左胃大網動脈,Arteria gastroepiploica sinistra(ラ)
AGF,最大屈曲角度,Angle of greatest flexion
AGL,急性顆粒球性白血病,Acute granulocytic leukemia
AGML,急性胃粘膜病変,Acute gastric mucosal
AGN,急性糸球体腎炎,Acute glomerulonephritis
AGS,副腎性器症候群,Adrenogenital syndrome
AGSA,副左胃動脈,Arteria gastrica sinistra accessorius（ラ）
AGT,抗グロブリン試験,Antiglobulin test
AH,急性肝炎,Acute hepatitis
Ah,遠視性乱視,Astigmatismus hypermetropicus
AHA,抗血友病A因子(第Ⅷ因子),Antihemophilic A factor
AHC,急性出血性結膜炎,Acute hemorrhagic conjunctivitis
AHD,後天性心疾患,Acquired heart disease
AHF,抗血友病因子,Antihemophilic factor
AHG,抗血友病グロブリン,Antinemophilic globulin
AHI,乳児(小児)交代性片麻痺,Alternating hemiplegia in infants
AHL,人工心肺,Artificial heart-lung
AHP,急性出血性膵炎,Acute hemorrhagic pancreatitis
AI,人工授精,Artificial insemination
AIA,アスピリン誘発喘息,Aspirin-induced asthma
AICA,前下小脳動脈【アイカ】,Anterior inferior cerebellar artery
AID,急性伝染病,Acute infectious disease
AIDS,後天性免疫不全症候群【エイズ】,Acquired immunodeficiency syndrome
AIF,前方固定,Anterior interbody fusion
AIHA,自己免疫性溶血性貧血,Autoimmune hemolytic anemia
AIMD,異常不随意運動疾患,Abnormal involuntary movement disorder
AIMP,急性免疫(介在)性多発神経炎,Acute immune-mediated polyneuritis
AIN,急性間質性腎炎,Acute interstitial nephritis
